id,description,state_img,action_type,action_target
1,陌生少女被蜈蚣包围，帮忙除掉,imgs/mission_bar/01.png,SEQUENCE,seqs/01.txt
2,扶起少女,imgs/mission_bar/02.png,SEQUENCE,seqs/02.txt
3,对话确认,imgs/mission_bar/03.png,SEQUENCE,seqs/03.txt
4,继续对话1,imgs/mission_bar/04.png,SEQUENCE,seqs/04.txt
5,继续对话2,imgs/mission_bar/05.png,SEQUENCE,seqs/05.txt
6,继续对话3,imgs/mission_bar/06.png,SEQUENCE,seqs/06.txt
7,点击地图棱形＋寻路,imgs/mission_bar/07.png,SEQUENCE,seqs/07.txt
8,对话,imgs/mission_bar/08.png,SEQUENCE,seqs/08.txt
9,寻路,imgs/mission_bar/09.png,SEQUENCE,seqs/09.txt
10,二次寻路,imgs/mission_bar/10.png,SEQUENCE,seqs/10.txt
11,双手合十,imgs/mission_bar/11.png,SEQUENCE,seqs/11.txt
12,第二次打蜈蚣,imgs/mission_bar/12.png,SEQUENCE,seqs/12.txt
13,感谢小童,imgs/mission_bar/13.png,SEQUENCE,seqs/13.txt
14,跟小童进村,imgs/mission_bar/14.png,SEQUENCE,seqs/14.txt
15,跟大部队对话,imgs/mission_bar/15.png,SEQUENCE,seqs/15.txt
16,跟小童走,imgs/mission_bar/16.png,SEQUENCE,seqs/16.txt
17,点开画册,imgs/mission_bar/17.png,SEQUENCE,seqs/17.txt
18,打开背包,imgs/mission_bar/18.png,SEQUENCE,seqs/18.txt
19,捏脸,imgs/mission_bar/19.png,SEQUENCE,seqs/19.txt
20,捏脸完成,imgs/mission_bar/20.png,SEQUENCE,seqs/20.txt
21,穿戴,imgs/mission_bar/21.png,SEQUENCE,seqs/21.txt
22,和云纵对话,imgs/mission_bar/22.png,SEQUENCE,seqs/22.txt
23,和云纵走,imgs/mission_bar/23.png,SEQUENCE,seqs/23.txt
24,查看尸体,imgs/mission_bar/24.png,SEQUENCE,seqs/24.txt
25,走向鲸鱼对话,imgs/mission_bar/25.png,SEQUENCE,seqs/25.txt
26,走向云纵,imgs/mission_bar/26.png,SEQUENCE,seqs/26.txt
27,走向大家对话,imgs/mission_bar/27.png,SEQUENCE,seqs/27.txt
28,再次走向云纵,imgs/mission_bar/28.png,SEQUENCE,seqs/28.txt
29,和小童走,imgs/mission_bar/29.png,SEQUENCE,seqs/29.txt
30,摘打姜黄,imgs/mission_bar/30.png,SEQUENCE,seqs/30.txt
31,去村长家,imgs/mission_bar/31.png,SEQUENCE,seqs/31.txt
32,跳木箱,imgs/mission_bar/32.png,SEQUENCE,seqs/32.txt
200,点副本,imgs/mission_bar/200.png,SEQUENCE,seqs/200.txt
201,判断随机副本,imgs/mission_bar/201fire.png|imgs/mission_bar/201Ice.png,SEQUENCE,seqs/201Fire.txt|seqs/201Ice.txt
